"","BaselineProp.clusters","BaselineProp.Freq","PropMean.COVID.19","PropMean.normal","PropRatio","Tstatistic","P.Value","FDR"
"5","5",0.0490159673226885,0.00375340201289569,0.106303507426719,0.0353083553285681,-5.03489871648996,4.43388667639621e-06,0.000113163286018884
"6","6",0.0490159673226885,0.00229317649451054,0.121367836102687,0.0188944333865385,-4.86147781060508,8.38246563102843e-06,0.000113163286018884
"1","1",0.0772372818418121,0.182990660782966,0.0117093916789199,15.6276829574673,4.6845470574506,1.99321019231637e-05,0.000179388917308473
"10","10",0.0404753063497958,0.0765631217975214,0.0015441454855809,49.5828421042327,4.20318078329763,8.64740901651403e-05,0.00056952806853029
"23","23",0.0165243223171185,0.0207406198270404,-1.862038121585e-18,-11138665522801264,4.14511518996056,0.000105468160838943,0.00056952806853029
"8","8",0.0412179725213517,0.00294913185179637,0.0870119077832422,0.0338934282321799,-3.94919247506815,0.000204082896626161,0.000918373034817723
"9","9",0.0412179725213517,0.108602972438967,0.0162665899698592,6.67644371931671,3.82295853638779,0.00034863481185435,0.00134473427429535
"4","4",0.0553286297809135,0.055001997011132,0.00314749735576104,17.4748350178782,3.6083108270918,0.000618873226115695,0.00208869713814047
"11","11",0.0350909766060156,0.00184201639362885,0.0833127877904415,0.0221096477801477,-3.51327354319096,0.00083517282061938,0.00250551846185814
"7","7",0.0490159673226885,0.00250708765675823,0.11367598878826,0.0220546808827683,-3.450881487489,0.00101436973448799,0.00273879828311758
"13","13",0.0304493130337913,0.0249110850707366,0.00128700128700129,19.3559130999623,3.2987336404573,0.00161618021660812,0.00396698780440175
"14","14",0.0287783141477906,0.0501565498151621,-5.69638797101614e-18,-8804974322388890,2.89681736250555,0.00546773306017669,0.0123023993853976
"0","0",0.0868919420720386,0.10632094818177,0.0174461578165897,6.09423285628364,2.7696111876202,0.00771866913962349,0.0155660941750464
"12","12",0.0350909766060156,0.0260023274333112,0.000429000429000427,60.6114252470487,2.73790037840897,0.00807130809076479,0.0155660941750464
"15","15",0.0269216487189009,0.0504220243623768,0.000452079566003616,111.533517889578,2.64938745610041,0.010603112466236,0.0188143209529175
"16","16",0.0265503156331229,0.0177832114844175,-4.75827039608923e-19,-37373268024098296,2.61681339225487,0.0111492272313585,0.0188143209529175
"21","21",0.0204233197177869,0.000387448615236895,0.0461015190018983,0.0084042483550475,-2.53423611222625,0.0138246350938792,0.0213313050034026
"24","24",0.0139249907166729,0.0196413935684295,0.000429000429000428,45.7840884080092,2.52326224016889,0.0142208700022684,0.0213313050034026
"18","18",0.0252506498329001,0.000476190476190479,0.03642836637783,0.0130719690049094,-2.48716149004223,0.0155978148167921,0.0221653157922834
"26","26",0.00872632751578166,0.00695109791199639,-8.20572189857074e-19,-8471037646556267,2.40204183297339,0.0193312839174251,0.0260972332885239
"20","20",0.0217229855180097,0.0188360909725089,0.000429000429000429,43.9069280569183,2.11374104612251,0.0385914919382854,0.0496176324920813
"17","17",0.0254363163757891,0,0.0352065349682022,0,-2.00988253889725,0.0488258008470463,0.0599225737668295
"22","22",0.0200519866320089,0.00135382955771305,0.04850623489698,0.0279104234865556,-1.33266569284849,0.187546923114206,0.220163779307981
"25","25",0.012810991459339,0.0172466936099564,0.00214243328015783,8.05004933861272,1.17028579316984,0.246390763630263,0.277189609084046
"19","19",0.0222799851466766,0.0169389206601324,0.0400717826567835,0.422714427386846,-0.955777697063266,0.342918058435043,0.370351503109846
"2","2",0.071295952469365,0.0923128882004377,0.0668529181932916,1.38083558197914,0.840702196845281,0.403764168809933,0.419293559918008
"3","3",0.0692536204975863,0.0930151138124075,0.15987831828679,0.581786916507071,-0.677110578264217,0.500869149717115,0.500869149717115
